sounds,syll,stress_unstress,suffix,present_past,corrAns,trigger_item,trigger_senonset,trigger_verbsonset,trigger_1_F0,trigger_suffix,trigger_2_F0,ID_item,ID_senonset,ID_verbonset,ID_1_F0,ID_suffix,ID_2_F0,ms_senonset,ms_verbonset,ms_1_F0,ms_suffix,ms_2_F0,file_name,sentence,cond,combo,thisN,thisTrialN,thisRepN,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_5.keys,item_id,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.rt,key_resp_5.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,thisRow.t,notes,instructions.started,instr.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_practice.started,init_practice.stopped,test_practice.started,test_sound_2.started,key_resp_4.started,polygon.started,serialPort_item_2.started,serialPort_item_2.stopped,test_sound_2.stopped,test_practice.stopped,practice_trials.key_resp_4.keys,practice_trials.key_resp_4.corr,practice_trials.key_resp_4.rt,practice_trials.key_resp_4.duration,takeabreak.started,takeabreak.stopped,practice_trials.key_resp_5.keys,init_trials.started,init_trials.stopped,test.started,test_sound.started,key_resp_2.started,polygon_2.started,serialPort_item.started,serialPort_item.stopped,test_sound.stopped,test.stopped,experimental_trials.key_resp_2.keys,experimental_trials.key_resp_2.corr,experimental_trials.key_resp_2.rt,experimental_trials.key_resp_2.duration,experimental_trials.key_resp_5.keys,text_3.started,key_resp_5.started,experimental_trials.key_resp_5.rt,experimental_trials.key_resp_5.duration,Thanks.started,text_2.started,key_resp_thanks.started,Thanks.stopped,key_resp_thanks.keys,key_resp_thanks.rt,key_resp_thanks.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,...110,version,group,...113,response_key,correct,is_correct
sounds/35b_secar.wav,CVC,Unstressed,Mismatch,present,num_1,0,0.2,0.8990044921875,1.025708658854166,1.179689416956018,1.20652606336805,101,20,21,22,23,24,0,0.6990044921875,0.825708658854166,0.979689416956018,1.00652606336805,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,b,NA,10,10,0,NA,NA,NA,NA,None,35,left,0,2.1452349000028335,None,NA,NA,NA,NA,NA,NA,0,10,10,5,2842.4955741000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2844.6475296000135,2844.6476418999955,NA,NA,NA,2842.4851661000284,2842.4919212666614,2842.4955741000012,2842.4955741000012,0.0074155000038445,0.01867289998335763,2844.6413770000217,2844.6439005000284,left,0,2.1452349000028335,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/16a_llevar.wav,CVC,Stressed,Match,present,num_1,0,0.2,0.929084516317274,0.964936524692279,1.08,1.131864014418682,101,10,11,12,13,14,0,0.729084516317274,0.764936524692279,0.88,0.931864014418682,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,a,NA,11,11,0,NA,NA,NA,NA,None,16,left,0,1.9943835000158288,None,NA,NA,NA,NA,NA,NA,0,11,11,21,2844.66342430003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2846.6651078999857,2846.6651950000087,NA,NA,NA,2844.653447300021,2844.6580436666886,2844.66342430003,2844.66342430003,0.00582150003174319,0.01638580003054812,2846.5746593999793,2846.661749700026,left,0,1.9943835000158288,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/25b_ganar.wav,CVC,Unstressed,Mismatch,present,num_1,0,0.2,1.152097938368055,1.15990068760488,1.28904165650454,1.37272500435153,101,20,21,22,23,24,0,0.952097938368055,0.95990068760488,1.08904165650454,1.17272500435153,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,b,NA,12,12,0,NA,NA,NA,NA,None,25,left,0,2.3962909000110812,None,NA,NA,NA,NA,NA,NA,0,12,12,8,2846.6841821999988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2849.097905099974,2849.0980003000004,NA,NA,NA,2846.6736544999876,2846.6754397666705,2846.6841821999988,2846.6841821999988,0.00849239999661222,0.02004449995001778,2849.024464600021,2849.09454239998,left,0,2.3962909000110812,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/04c_plantar.wav,CVC,Unstressed,Match,past,num_2,0,0.2,0.862877574458911,0.9343518689653568,1.20493812332404,1.21897569287037,101,30,31,32,33,34,0,0.662877574458911,0.734351868965357,1.00493812332404,1.01897569287037,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,c,NA,13,13,0,NA,NA,NA,NA,None,4,right,0,1.999644699972123,None,NA,NA,NA,NA,NA,NA,0,13,13,9,2849.11346209998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2851.137047600001,2851.137086100003,NA,NA,NA,2849.1034282000037,2849.108339666684,2849.11346209998,2849.11346209998,0.00543909997213631,0.01641330000711605,NA,2851.1346608999884,right,0,1.999644699972123,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,right,TRUE,TRUE
sounds/33b_culpar.wav,CVC,Unstressed,Mismatch,present,num_1,0,0.2,0.8606178431336959,0.869103678029107,1.109891641372144,1.131540467434179,101,20,21,22,23,24,0,0.660617843133696,0.669103678029107,0.909891641372144,0.931540467434179,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,b,NA,14,14,0,NA,NA,NA,NA,None,33,left,0,2.390453699976206,None,NA,NA,NA,NA,NA,NA,0,14,14,35,2851.1532841000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2853.564824800007,2853.5649112000247,NA,NA,NA,2851.142484700016,2851.1583832333063,2851.1532841000007,2851.1532841000007,0.00546129996655508,0.01741549995495006,2853.3248972999863,2853.560591200018,left,0,2.390453699976206,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/15b_partir.wav,CVC,Unstressed,Mismatch,present,num_1,0,0.2,0.826865400752314,0.842973894883327,1.1042888772729471,1.120815958498066,101,20,21,22,23,24,0,0.626865400752314,0.642973894883327,0.904288877272947,0.920815958498066,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,b,NA,15,15,0,NA,NA,NA,NA,None,15,left,0,2.6636461999733,None,NA,NA,NA,NA,NA,NA,0,15,15,22,2853.584786900028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856.264732600015,2856.264820499986,NA,NA,NA,2853.5721843999927,2853.5749255666783,2853.584786900028,2853.584786900028,0.00729369994951412,0.02121819998137653,2855.6416585000115,2856.2612261999748,left,0,2.6636461999733,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/26a_bajar.wav,CVC,Stressed,Match,present,num_1,0,0.2,0.77,0.8999999999999999,1.03,1.171181705729166,101,10,11,12,13,14,0,0.57,0.7,0.83,0.971181705729166,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,a,NA,16,16,0,NA,NA,NA,NA,None,26,left,0,2.2113036999944597,None,NA,NA,NA,NA,NA,NA,0,16,16,13,2856.284710099979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2858.51528599998,2858.5153790999902,NA,NA,NA,2856.273114599986,2856.2753268666606,2856.284710099979,2856.284710099979,0.0083706000004895,0.02094139996916055,2858.359066099976,2858.5111297999974,left,0,2.2113036999944597,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
sounds/40c_gastar.wav,CVC,Unstressed,Match,past,num_2,0,0.2,0.8300000000000001,0.8400000000000001,1.163436328125,1.183149609375,101,30,31,32,33,34,0,0.63,0.64,0.963436328125,0.983149609375,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,c,NA,17,17,0,NA,NA,NA,NA,None,40,right,0,2.102425499993842,None,NA,NA,NA,NA,NA,NA,0,17,17,0,2858.5299697999726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2860.647344099998,2860.647447000025,NA,NA,NA,2858.5202073000255,2858.5250002666767,2858.5299697999726,2858.5299697999726,0.00482010003179311,0.01538580004125833,2860.641722499975,2860.644100299978,right,0,2.102425499993842,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,right,TRUE,TRUE
sounds/34c_formar.wav,CVC,Unstressed,Match,past,num_2,0,0.2,0.876373676215277,0.992687651909722,1.14,1.26319767795138,101,30,31,32,33,34,0,0.676373676215277,0.792687651909722,0.94,1.06319767795138,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,c,NA,18,18,0,NA,NA,NA,NA,None,34,right,0,2.4161910000257194,None,NA,NA,NA,NA,NA,NA,0,18,18,2,2860.6642794000218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2863.0969089000137,2863.096984100004,NA,NA,NA,2860.6536401999765,2860.658389166642,2860.6642794000218,2860.6642794000218,0.00621219997992739,0.01742859999649226,2862.9084229000146,2863.0939952000044,right,0,2.4161910000257194,None,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,right,TRUE,TRUE
sounds/19a_marcar.wav,CVC,Stressed,Match,present,num_1,0,0.2,0.8400000000000001,0.97,1.245718359375,1.273519140625,101,10,11,12,13,14,0,0.64,0.77,1.045718359375,1.073519140625,1_L1_LangExperimentstress_2025-05-05_09h30.26.756.csv,NA,a,NA,19,19,0,NA,NA,NA,NA,space,19,left,0,2.1926402000244707,None,4.659979799995199,None,NA,NA,NA,NA,0,19,19,19,2863.113273499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2865.315129399998,2869.9947180000017,NA,NA,NA,2863.1022100999835,2863.108177966675,2863.113273499999,2863.113273499999,0.00523390003945678,0.01708359998883679,2865.008345099981,2865.3118700999767,left,0,2.1926402000244707,None,space,2865.3250791999744,2865.3250791999744,4.659979799995199,None,NA,NA,NA,NA,NA,NA,NA,1_L1,001,2025-05-05_09h30.26.756,LangExperimentstress,2024.2.4,59.96440511637471,2025-05-05 09h30.35.163719 -0400,NA,V1,L1,NA,left,TRUE,TRUE
