Participant_ID,L1_L2,area,time_period,channel,stress,match,amplitude
stress1,L1,suffix,235_415,T8,unstressed,mismatch,-9.297478
stress1,L1,suffix,235_415,T8,unstressed,match,1.172093
stress1,L1,suffix,235_415,FT10,stressed,mismatch,-2.437745
stress1,L1,suffix,235_415,FT10,stressed,match,19.99151
stress1,L1,suffix,235_415,FT10,unstressed,mismatch,-6.819193
stress1,L1,suffix,235_415,FT10,unstressed,match,2.499993
stress1,L1,suffix,235_415,FC6,stressed,mismatch,-1.32108
stress1,L1,suffix,235_415,FC6,stressed,match,12.433846
stress1,L1,suffix,235_415,FC6,unstressed,mismatch,-3.950104
stress1,L1,suffix,235_415,FC6,unstressed,match,-0.603047
stress1,L1,suffix,235_415,FC2,stressed,mismatch,-2.570086
stress1,L1,suffix,235_415,FC2,stressed,match,4.415342
stress1,L1,suffix,235_415,FC2,unstressed,mismatch,-0.685282
stress1,L1,suffix,235_415,FC2,unstressed,match,-0.79621
stress1,L1,suffix,235_415,F4,stressed,mismatch,-3.515986
stress1,L1,suffix,235_415,F4,stressed,match,10.754895
stress1,L1,suffix,235_415,F4,unstressed,mismatch,-3.128507
stress1,L1,suffix,235_415,F4,unstressed,match,0.078651
stress1,L1,suffix,235_415,F8,stressed,mismatch,-0.636972
stress1,L1,suffix,235_415,F8,stressed,match,14.346231
stress1,L1,suffix,235_415,F8,unstressed,mismatch,-26.308233
stress1,L1,suffix,235_415,F8,unstressed,match,0.936785
stress1,L1,suffix,235_415,Fp2,stressed,mismatch,-8.809065
stress1,L1,suffix,235_415,Fp2,stressed,match,7.037287
stress1,L1,suffix,235_415,Fp2,unstressed,mismatch,-7.748031
stress1,L1,suffix,235_415,Fp2,unstressed,match,-1.32706
stress1,L1,suffix,235_415,Audio,stressed,mismatch,-1322.099243
stress1,L1,suffix,235_415,Audio,stressed,match,-1318.856079
stress1,L1,suffix,235_415,Audio,unstressed,mismatch,-2637.652832
stress1,L1,suffix,235_415,Audio,unstressed,match,-2035.197754
stress1,L1,suffix,235_415,Fz,stressed,mismatch,-3.677105
stress1,L1,suffix,235_415,Fz,stressed,match,7.167357
stress1,L1,suffix,235_415,Fz,unstressed,mismatch,-1.126635
stress1,L1,suffix,235_415,Fz,unstressed,match,-1.624286
stress1,L2,suffix,235_415,Fp1,stressed,mismatch,6.69777
stress1,L2,suffix,235_415,Fp1,stressed,match,-4.848664
stress1,L2,suffix,235_415,Fp1,unstressed,mismatch,2.543671
stress1,L2,suffix,235_415,Fp1,unstressed,match,-1.413368
stress1,L2,suffix,235_415,F3,stressed,mismatch,4.582184
stress1,L2,suffix,235_415,F3,stressed,match,-1.273279
stress1,L2,suffix,235_415,F3,unstressed,mismatch,1.870483
stress1,L2,suffix,235_415,F3,unstressed,match,-0.150012
stress1,L2,suffix,235_415,F7,stressed,mismatch,3.271774
stress1,L2,suffix,235_415,F7,stressed,match,-1.558962
stress1,L2,suffix,235_415,F7,unstressed,mismatch,1.485716
stress1,L2,suffix,235_415,F7,unstressed,match,1.266142
stress1,L2,suffix,235_415,FT9,stressed,mismatch,0.583265
stress1,L2,suffix,235_415,FT9,stressed,match,-2.08724
stress1,L2,suffix,235_415,FT9,unstressed,mismatch,-0.017842
stress1,L2,suffix,235_415,FT9,unstressed,match,0.752252
stress1,L2,suffix,235_415,FC5,stressed,mismatch,3.076111
stress1,L2,suffix,235_415,FC5,stressed,match,-2.46431
stress1,L2,suffix,235_415,FC5,unstressed,mismatch,1.423502
stress1,L2,suffix,235_415,FC5,unstressed,match,0.410594
stress1,L2,suffix,235_415,FC1,stressed,mismatch,3.588725
stress1,L2,suffix,235_415,FC1,stressed,match,-1.592228
stress1,L2,suffix,235_415,FC1,unstressed,mismatch,1.0495
stress1,L2,suffix,235_415,FC1,unstressed,match,-0.051198
stress1,L2,suffix,235_415,C3,stressed,mismatch,3.027182
stress1,L2,suffix,235_415,C3,stressed,match,-2.293224
stress1,L2,suffix,235_415,C3,unstressed,mismatch,2.00149
stress1,L2,suffix,235_415,C3,unstressed,match,0.165435
stress1,L2,suffix,235_415,T7,stressed,mismatch,0.126638
stress1,L2,suffix,235_415,T7,stressed,match,-2.753349
stress1,L2,suffix,235_415,T7,unstressed,mismatch,0.293032
stress1,L2,suffix,235_415,T7,unstressed,match,-0.399651
stress1,L2,suffix,235_415,TP9,stressed,mismatch,-4.714023
stress1,L2,suffix,235_415,TP9,stressed,match,1.142877
stress1,L2,suffix,235_415,TP9,unstressed,mismatch,-1.40559
stress1,L2,suffix,235_415,TP9,unstressed,match,0.064358
