sounds,syll,stress_unstress,suffix,present_past,corrAns,trigger_item,trigger_senonset,trigger_verbsonset,trigger_1_F0,trigger_suffix,trigger_2_F0,ID_item,ID_senonset,ID_verbonset,ID_1_F0,ID_suffix,ID_2_F0,ms_senonset,ms_verbonset,ms_1_F0,ms_suffix,ms_2_F0,file_name,sentence,cond,combo,thisN,thisTrialN,thisRepN,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_5.keys,item_id,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.rt,key_resp_5.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,thisRow.t,notes,instructions.started,instr.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_practice.started,init_practice.stopped,test_practice.started,test_sound_2.started,key_resp_4.started,polygon.started,serialPort_item_2.started,serialPort_item_2.stopped,test_sound_2.stopped,test_practice.stopped,practice_trials.key_resp_4.keys,practice_trials.key_resp_4.corr,practice_trials.key_resp_4.rt,practice_trials.key_resp_4.duration,takeabreak.started,takeabreak.stopped,practice_trials.key_resp_5.keys,init_trials.started,init_trials.stopped,test.started,test_sound.started,key_resp_2.started,polygon_2.started,serialPort_item.started,serialPort_item.stopped,test_sound.stopped,test.stopped,experimental_trials.key_resp_2.keys,experimental_trials.key_resp_2.corr,experimental_trials.key_resp_2.rt,experimental_trials.key_resp_2.duration,experimental_trials.key_resp_5.keys,text_3.started,key_resp_5.started,experimental_trials.key_resp_5.rt,experimental_trials.key_resp_5.duration,Thanks.started,text_2.started,key_resp_thanks.started,Thanks.stopped,key_resp_thanks.keys,key_resp_thanks.rt,key_resp_thanks.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002537099993787706,0.008682899991981685,0.008682899991981685,311.28754829999525,space,311.2666399000009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.28767989999324,311.28865639999276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/p2b_cortar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.205513,0.8629519999999999,0.984841,1.219715,1.27,101,20,21,22,23,24,0.005513,0.662952,0.784841,1.019715,1.07,p2b_cortar.wav,p2,b,p2b,0,0,0,left,0,4.399456499988446,None,None,,,,,,,,0,0,0,1,,,,,311.3144123999955,,,,,,,,,,,311.30413269999553,311.3096585333192,311.3144123999955,311.3144123999955,0.015463899995665997,0.026381399991805665,313.5926907999965,315.72852779999084,left,0,4.399456499988446,None,315.73274129998754,315.73283189999347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/p3c_saltar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.205513,0.8629519999999999,0.984841,1.219715,1.27,101,30,31,32,33,34,0.005513,0.662952,0.784841,1.019715,1.07,p3c_saltar.wav,p3,c,p3c,1,1,0,right,0,3.5899792999989586,None,None,,,,,,,,0,1,1,2,,,,,315.7485389999929,,,,,,,,,,,315.737951099989,315.74265476665846,315.7485389999929,315.7485389999929,0.005128000004333444,0.016581000003498048,317.8422431999934,319.3455802999961,right,0,3.5899792999989586,None,319.34991289999743,319.3500015999889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/p1a_saltar.wav,CVC,Stressed,Match,present,num_1,0.0,0.205513,0.8629519999999999,0.984841,1.219715,1.27,101,10,11,12,13,14,0.005513,0.662952,0.784841,1.019715,1.07,p1a_saltar.wav,p1,a,p1a,2,2,0,left,0,4.810283500002697,None,None,,,,,,,,0,2,2,0,,,,,319.3676480999857,,,,,,,,,,,319.3557114999858,319.35947006666197,319.3676480999857,319.3676480999857,0.005744599999161437,0.018839399999706075,321.60905439998896,324.1949416999996,left,0,4.810283500002697,None,324.1989922999928,324.1990805999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/p4d_cortar.wav,CVC,Stressed,Mismatch,past,num_2,0.0,0.205513,0.8629519999999999,0.984841,1.219715,1.27,101,40,41,42,43,44,0.005513,0.662952,0.784841,1.019715,1.07,p4d_cortar.wav,p4,d,p4d,3,3,0,right,0,3.219193600001745,None,None,,,,,,,,0,3,3,3,,,,,324.21590129999095,,,,,,,,,,,324.20528899999044,324.20927406665965,324.21590129999095,324.21590129999095,0.006212500011315569,0.01774870000372175,326.7425302999909,327.4449285999872,right,0,3.219193600001745,None,327.4488613999856,327.4489620999957,None,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.44921029999387,327.4590119999921,327.4590119999921,378.01174399998854,space,50.54409169999417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.0118514999922,378.0127719999873,,,,,,,,,,,,,,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/07c_tumbar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.2,0.9084024930273432,0.9247360728973012,1.143289673625005,1.154847989033482,101,30,31,32,33,34,0,0.708402493027343,0.724736072897301,0.943289673625005,0.954847989033482,07c_tumbar.wav,,c,,0,0,0,,,,,None,7,right,0,2.4084669000003487,None,,,,,,,0,0,0,6,378.04244829999516,,,,,,,,,,,,,,,,,,,,,,,380.4650357999926,380.4651152999868,,,,378.0314678999857,378.0425379333251,378.04244829999516,378.04244829999516,0.0186793999891961,0.03026309999404475,379.99227409999,380.4616462999984,right,0,2.4084669000003487,None,None,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
sounds/39b_manchar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,0.81,0.91203755787037,1.140584317129629,1.2139708912037,101,20,21,22,23,24,0,0.61,0.71203755787037,0.940584317129629,1.0139708912037,39b_manchar.wav,,b,,1,1,0,,,,,None,39,left,0,3.0086409999930765,None,,,,,,,0,1,1,7,380.4818181999872,,,,,,,,,,,,,,,,,,,,,,,383.50065849999373,383.50074589998985,,,,380.4701206999889,380.4759925666624,380.4818181999872,380.4818181999872,0.00501530000474304,0.017943400001968257,382.7423628999968,383.496063899991,left,0,3.0086409999930765,None,None,,,,,,,,,,,,22_L2,001,2025-04-30_17h07.30.187,LangExperimentstress,2024.2.4,60.114939765251734,2025-04-30 17h07.43.312146 -0400,
