sounds,syll,stress_unstress,suffix,present_past,corrAns,trigger_item,trigger_senonset,trigger_verbsonset,trigger_1_F0,trigger_suffix,trigger_2_F0,ID_item,ID_senonset,ID_verbonset,ID_1_F0,ID_suffix,ID_2_F0,ms_senonset,ms_verbonset,ms_1_F0,ms_suffix,ms_2_F0,file_name,sentence,cond,combo,thisN,thisTrialN,thisRepN,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,key_resp_5.keys,item_id,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,key_resp_5.rt,key_resp_5.duration,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experimental_trials.thisRepN,experimental_trials.thisTrialN,experimental_trials.thisN,experimental_trials.thisIndex,thisRow.t,notes,instructions.started,instr.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,init_practice.started,init_practice.stopped,test_practice.started,test_sound_2.started,key_resp_4.started,polygon.started,serialPort_item_2.started,serialPort_item_2.stopped,test_sound_2.stopped,test_practice.stopped,practice_trials.key_resp_4.keys,practice_trials.key_resp_4.corr,practice_trials.key_resp_4.rt,practice_trials.key_resp_4.duration,takeabreak.started,takeabreak.stopped,practice_trials.key_resp_5.keys,init_trials.started,init_trials.stopped,test.started,test_sound.started,key_resp_2.started,polygon_2.started,serialPort_item.started,serialPort_item.stopped,test_sound.stopped,test.stopped,experimental_trials.key_resp_2.keys,experimental_trials.key_resp_2.corr,experimental_trials.key_resp_2.rt,experimental_trials.key_resp_2.duration,experimental_trials.key_resp_5.keys,text_3.started,key_resp_5.started,experimental_trials.key_resp_5.rt,experimental_trials.key_resp_5.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
sounds/26a_bajar.wav,CVC,Stressed,Match,present,num_1,0.0,0.2,0.77,0.8999999999999999,1.03,1.171181705729166,101,10,11,12,13,14,0,0.57,0.7,0.83,0.971181705729166,26a_bajar.wav,,a,,2,2,0,,,,,None,26,left,0,8.097017199732363,None,,,,,,,0,2,2,13,4364.775856800377,,,,,,,,,,,,,,,,,,,,,,,4372.880014600232,4372.880132300314,,,,4364.764493100345,4364.774553033647,4364.775856800377,4364.775856800377,0.01763219991698861,0.029767300002276897,4366.857386799995,4372.875883799978,left,0,8.097017199732363,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/10d_vender.wav,CVC,Stressed,Mismatch,past,num_2,0.0,0.2,0.832830209056713,0.8775468199411529,1.109501330306288,1.158928471023364,101,40,41,42,43,44,0,0.632830209056713,0.677546819941153,0.909501330306288,0.958928471023364,10d_vender.wav,,d,,3,3,0,,,,,None,10,right,0,16.571194000076503,None,,,,,,,0,3,3,12,4372.9099588999525,,,,,,,,,,,,,,,,,,,,,,,4389.495733700227,4389.495775599964,,,,4372.899226800073,4372.907347133507,4372.9099588999525,4372.9099588999525,0.01910909963771701,0.030716999899595976,4374.824167200364,4389.4927205001,right,0,16.571194000076503,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/32d_pulsar.wav,CVC,Stressed,Mismatch,past,num_2,0.0,0.2,0.796440212673611,0.8294641710069439,0.99,1.097783832465277,101,40,41,42,43,44,0,0.596440212673611,0.629464171006944,0.79,0.897783832465277,32d_pulsar.wav,,d,,4,4,0,,,,,None,32,left,0,5.069892500061542,None,,,,,,,0,4,4,24,4389.5229080002755,,,,,,,,,,,,,,,,,,,,,,,4394.611977700144,4394.612033000216,,,,4389.513240600005,4389.5244951333225,4389.5229080002755,4389.5229080002755,0.017501600086688995,0.027947199996560812,4391.3407404003665,4394.608612100128,left,0,5.069892500061542,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/23a_tomar.wav,CVC,Stressed,Match,present,num_1,0.0,0.2,0.9453179615162032,0.95,1.08,1.158644495081018,101,10,11,12,13,14,0,0.745317961516203,0.75,0.88,0.958644495081018,23a_tomar.wav,,a,,5,5,0,,,,,None,23,right,0,19.48672389984131,None,,,,,,,0,5,5,39,4394.642238399945,,,,,,,,,,,,,,,,,,,,,,,4414.1377711002715,4414.137873900123,,,,4394.631131900009,4394.639971633565,4394.642238399945,4394.642238399945,0.019110700115561485,0.031088400166481733,4396.557368900161,4414.133260500152,right,0,19.48672389984131,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/16a_llevar.wav,CVC,Stressed,Match,present,num_1,0.0,0.2,0.929084516317274,0.964936524692279,1.08,1.131864014418682,101,10,11,12,13,14,0,0.729084516317274,0.764936524692279,0.88,0.931864014418682,16a_llevar.wav,,a,,6,6,0,,,,,None,16,left,0,7.5225733001716435,None,,,,,,,0,6,6,21,4414.190195899922,,,,,,,,,,,,,,,,,,,,,,,4421.734104699921,4421.734217199963,,,,4414.172587200068,4414.179232200328,4414.190195899922,4414.190195899922,0.034742800053209066,0.05384299997240305,4416.0949880001135,4421.7311690999195,left,0,7.5225733001716435,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/36c_bordar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.2,1.0,1.078468243634259,1.3288624855324,1.3414992042824,101,30,31,32,33,34,0,0.8,0.878468243634259,1.1288624855324,1.1414992042824,36c_bordar.wav,,c,,7,7,0,,,,,None,36,right,0,8.245467300061136,None,,,,,,,0,7,7,1,4421.779314199928,,,,,,,,,,,,,,,,,,,,,,,4430.036233799998,4430.036381800193,,,,4421.764436000027,4421.778103800211,4421.779314199928,4421.779314199928,0.03023659996688366,0.04624280007556081,4424.046758899931,4430.032157199923,right,0,8.245467300061136,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/12a_matar.wav,CVC,Stressed,Match,present,num_1,0.0,0.2,0.8400000000000001,0.96,1.17307472511574,1.186647497106481,101,10,11,12,13,14,0,0.64,0.76,0.97307472511574,0.986647497106481,12a_matar.wav,,a,,8,8,0,,,,,None,12,right,0,12.022990699857473,None,,,,,,,0,8,8,25,4430.08286590036,,,,,,,,,,,,,,,,,,,,,,,4442.116886000149,4442.116975100245,,,,4430.066827000119,4430.0790624001065,4430.08286590036,4430.08286590036,0.030480300076305866,0.047907100059092045,4432.278781100176,4442.114977899939,right,0,12.022990699857473,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/19a_marcar.wav,CVC,Stressed,Match,present,num_1,0.0,0.2,0.8400000000000001,0.97,1.245718359375,1.273519140625,101,10,11,12,13,14,0,0.64,0.77,1.045718359375,1.073519140625,19a_marcar.wav,,a,,9,9,0,,,,,space,19,right,0,16.299291900359094,None,24.91955910017714,None,,,,,0,9,9,19,4442.15725080017,,,,,,,,,,,,,,,,,,,,,,,4458.467536400072,4483.4158032001,,,,4442.1435955003835,4442.145526733373,4442.15725080017,4442.15725080017,0.02664149971678853,0.04130219994112849,4444.062474800274,4458.465244300198,right,0,16.299291900359094,None,space,4458.481633600313,4458.481633600313,24.91955910017714,None,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/33b_culpar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,0.8606178431336959,0.869103678029107,1.109891641372144,1.131540467434179,101,20,21,22,23,24,0,0.660617843133696,0.669103678029107,0.909891641372144,0.931540467434179,33b_culpar.wav,,b,,10,10,0,,,,,None,33,left,0,13.175385900307447,None,,,,,,,0,10,10,35,4483.465232999995,,,,,,,,,,,,,,,,,,,,,,,4496.652583100367,4496.652670100331,,,,4483.448867900297,4483.463129500114,4483.465232999995,4483.465232999995,0.03303400008007884,0.050942699890583754,4485.63198029995,4496.649795500096,left,0,13.175385900307447,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/08d_filtrar.wav,CVC,Stressed,Mismatch,past,num_2,0.0,0.2,0.7526856695589441,0.87808115762362,1.118901843962886,1.172598812485867,101,40,41,42,43,44,0,0.552685669558944,0.67808115762362,0.918901843962886,0.972598812485867,08d_filtrar.wav,,d,,11,11,0,,,,,None,8,right,0,22.086901700124145,None,,,,,,,0,11,11,15,4496.697707100306,,,,,,,,,,,,,,,,,,,,,,,4518.801594700199,4518.801710600033,,,,4496.68181920005,4496.6967286003755,4496.697707100306,4496.697707100306,0.0291830999776721,0.04615879990160465,4498.464102700353,4518.7994450000115,right,0,22.086901700124145,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/34c_formar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.2,0.876373676215277,0.992687651909722,1.14,1.26319767795138,101,30,31,32,33,34,0,0.676373676215277,0.792687651909722,0.94,1.06319767795138,34c_formar.wav,,c,,12,12,0,,,,,None,34,left,0,7.370529999956489,None,,,,,,,0,12,12,2,4518.846601000056,,,,,,,,,,,,,,,,,,,,,,,4526.234942700248,4526.23502189992,,,,4518.8323783003725,4518.84672650015,4518.846601000056,4518.846601000056,0.030680200085043907,0.0461515998467803,4521.083628100343,4526.2329837,left,0,7.370529999956489,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/38b_pagar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,1.166737304687499,1.185271158854166,1.29521061197916,1.4055712890624898,101,20,21,22,23,24,0,0.966737304687499,0.985271158854166,1.09521061197916,1.20557128906249,38b_pagar.wav,,b,,13,13,0,,,,,None,38,left,0,3.861888200044632,None,,,,,,,0,13,13,17,4526.283014900051,,,,,,,,,,,,,,,,,,,,,,,4530.155420599971,4530.155487300362,,,,4526.268513900228,4526.280742400047,4526.283014900051,4526.283014900051,0.03352060029283166,0.049358699936419725,4528.531505600084,4530.150585399941,left,0,3.861888200044632,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/17d_tragar.wav,CVC,Stressed,Mismatch,past,num_2,0.0,0.2,1.070609360532407,1.117973654513888,1.30915316840277,1.35458539534397,101,40,41,42,43,44,0,0.870609360532407,0.917973654513888,1.10915316840277,1.15458539534397,17d_tragar.wav,,d,,14,14,0,,,,,None,17,right,0,13.347520099952817,None,,,,,,,0,14,14,26,4530.20496569993,,,,,,,,,,,,,,,,,,,,,,,4543.5732757002115,4543.573379599955,,,,4530.187340500299,4530.19730660012,4530.20496569993,4530.20496569993,0.03191810008138418,0.05118680000305176,4532.499813100323,4543.568990000058,right,0,13.347520099952817,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/25b_ganar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,1.152097938368055,1.15990068760488,1.28904165650454,1.37272500435153,101,20,21,22,23,24,0,0.952097938368055,0.95990068760488,1.08904165650454,1.17272500435153,25b_ganar.wav,,b,,15,15,0,,,,,None,25,left,0,7.652180700097233,None,,,,,,,0,15,15,8,4543.61991110025,,,,,,,,,,,,,,,,,,,,,,,4551.287777800113,4551.287838300224,,,,4543.60363700008,4543.616281500273,4543.61991110025,4543.61991110025,0.03028389997780323,0.04813829995691776,4545.96413690038,4551.284190900158,left,0,7.652180700097233,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/14b_borrar.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,0.72,0.770187630208333,0.851961241319444,0.964399956597222,101,20,21,22,23,24,0,0.52,0.570187630208333,0.651961241319444,0.764399956597222,14b_borrar.wav,,b,,16,16,0,,,,,None,14,right,0,10.588107199873775,None,,,,,,,0,16,16,20,4551.332516500261,,,,,,,,,,,,,,,,,,,,,,,4561.937567200046,4561.93769400008,,,,4551.315163400024,4551.330954900198,4551.332516500261,4551.332516500261,0.027357500046491623,0.046140100341290236,4553.282887100242,4561.9344831001945,right,0,10.588107199873775,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/13c_montar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.2,0.8800000000000001,0.98,1.24543012152777,1.2594709201388798,101,30,31,32,33,34,0,0.68,0.78,1.04543012152777,1.05947092013888,13c_montar.wav,,c,,17,17,0,,,,,None,13,left,0,8.497839899733663,None,,,,,,,0,17,17,33,4561.9826879003085,,,,,,,,,,,,,,,,,,,,,,,4570.486879300326,4570.486962100025,,,,4561.967080000322,4561.98167020008,4561.9826879003085,4561.9826879003085,0.029419600032269955,0.04621510021388531,4564.281836800277,4570.484647100326,left,0,8.497839899733663,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/18b_cumplir.wav,CVC,Unstressed,Mismatch,present,num_1,0.0,0.2,1.2408027271412,1.25568597366898,1.46256310040509,1.54144430700231,101,20,21,22,23,24,0,1.0408027271412,1.05568597366898,1.26256310040509,1.34144430700231,18b_cumplir.wav,,b,,18,18,0,,,,,None,18,right,0,4.773513100109994,None,,,,,,,0,18,18,29,4570.5309937000275,,,,,,,,,,,,,,,,,,,,,,,4575.324591800105,4575.324804400094,,,,4570.516454100143,4570.5318033999765,4570.5309937000275,4570.5309937000275,0.02952619967982173,0.045216699596494436,4572.717958000023,4575.320850400254,right,0,4.773513100109994,None,None,,,,,2_L2,001,2025-04-21_11h37.43.621,LangExperimentstress,2024.2.4,59.94255106821844,2025-04-21 11h37.53.508208 -0400,
sounds/40c_gastar.wav,CVC,Unstressed,Match,past,num_2,0.0,0.2,0.8300000000000001,0.8400000000000001,1.163436328125,1.183149609375,101,30,31,32,33,34,0,0.63,0.64,0.963436328125,0.983149609375,40c_gastar.wav,,c,,19,19,0,,,,,,40,,,,,,,,,,,0,19,19,0,4575.388663799968,,,,,,,,,,,,,,,,,,,,,,,,,,,,4575.370529100299,4575.383452066934,4575.388663799968,4575.388663799968,0.045755499973893166,0.06551360012963414,,,,,,,,,,,,,,,,,,,
