Participant_ID,L1_L2,area,time_period,Fp1-Average_suffix_stressed_mismatch,Fp1-Average_suffix_stressed_match,Fp1-Average_suffix_unstressed_mismatch,Fp1-Average_suffix_unstressed_match,F3-Average_suffix_stressed_mismatch,F3-Average_suffix_stressed_match,F3-Average_suffix_unstressed_mismatch,F3-Average_suffix_unstressed_match,F7-Average_suffix_stressed_mismatch,F7-Average_suffix_stressed_match,F7-Average_suffix_unstressed_mismatch,F7-Average_suffix_unstressed_match,FT9-Average_suffix_stressed_mismatch,FT9-Average_suffix_stressed_match,FT9-Average_suffix_unstressed_mismatch,FT9-Average_suffix_unstressed_match,FC5-Average_suffix_stressed_mismatch,FC5-Average_suffix_stressed_match,FC5-Average_suffix_unstressed_mismatch,FC5-Average_suffix_unstressed_match,FC1-Average_suffix_stressed_mismatch,FC1-Average_suffix_stressed_match,FC1-Average_suffix_unstressed_mismatch,FC1-Average_suffix_unstressed_match,C3-Average_suffix_stressed_mismatch,C3-Average_suffix_stressed_match,C3-Average_suffix_unstressed_mismatch,C3-Average_suffix_unstressed_match,T7-Average_suffix_stressed_mismatch,T7-Average_suffix_stressed_match,T7-Average_suffix_unstressed_mismatch,T7-Average_suffix_unstressed_match,TP9-Average_suffix_stressed_mismatch,TP9-Average_suffix_stressed_match,TP9-Average_suffix_unstressed_mismatch,TP9-Average_suffix_unstressed_match,CP5-Average_suffix_stressed_mismatch,CP5-Average_suffix_stressed_match,CP5-Average_suffix_unstressed_mismatch,CP5-Average_suffix_unstressed_match,CP1-Average_suffix_stressed_mismatch,CP1-Average_suffix_stressed_match,CP1-Average_suffix_unstressed_mismatch,CP1-Average_suffix_unstressed_match,Pz-Average_suffix_stressed_mismatch,Pz-Average_suffix_stressed_match,Pz-Average_suffix_unstressed_mismatch,Pz-Average_suffix_unstressed_match,P3-Average_suffix_stressed_mismatch,P3-Average_suffix_stressed_match,P3-Average_suffix_unstressed_mismatch,P3-Average_suffix_unstressed_match,P7-Average_suffix_stressed_mismatch,P7-Average_suffix_stressed_match,P7-Average_suffix_unstressed_mismatch,P7-Average_suffix_unstressed_match,O1-Average_suffix_stressed_mismatch,O1-Average_suffix_stressed_match,O1-Average_suffix_unstressed_mismatch,O1-Average_suffix_unstressed_match,Oz-Average_suffix_stressed_mismatch,Oz-Average_suffix_stressed_match,Oz-Average_suffix_unstressed_mismatch,Oz-Average_suffix_unstressed_match,O2-Average_suffix_stressed_mismatch,O2-Average_suffix_stressed_match,O2-Average_suffix_unstressed_mismatch,O2-Average_suffix_unstressed_match,P4-Average_suffix_stressed_mismatch,P4-Average_suffix_stressed_match,P4-Average_suffix_unstressed_mismatch,P4-Average_suffix_unstressed_match,P8-Average_suffix_stressed_mismatch,P8-Average_suffix_stressed_match,P8-Average_suffix_unstressed_mismatch,P8-Average_suffix_unstressed_match,TP10-Average_suffix_stressed_mismatch,TP10-Average_suffix_stressed_match,TP10-Average_suffix_unstressed_mismatch,TP10-Average_suffix_unstressed_match,CP6-Average_suffix_stressed_mismatch,CP6-Average_suffix_stressed_match,CP6-Average_suffix_unstressed_mismatch,CP6-Average_suffix_unstressed_match,CP2-Average_suffix_stressed_mismatch,CP2-Average_suffix_stressed_match,CP2-Average_suffix_unstressed_mismatch,CP2-Average_suffix_unstressed_match,Cz-Average_suffix_stressed_mismatch,Cz-Average_suffix_stressed_match,Cz-Average_suffix_unstressed_mismatch,Cz-Average_suffix_unstressed_match,C4-Average_suffix_stressed_mismatch,C4-Average_suffix_stressed_match,C4-Average_suffix_unstressed_mismatch,C4-Average_suffix_unstressed_match,T8-Average_suffix_stressed_mismatch,T8-Average_suffix_stressed_match,T8-Average_suffix_unstressed_mismatch,T8-Average_suffix_unstressed_match,FT10-Average_suffix_stressed_mismatch,FT10-Average_suffix_stressed_match,FT10-Average_suffix_unstressed_mismatch,FT10-Average_suffix_unstressed_match,FC6-Average_suffix_stressed_mismatch,FC6-Average_suffix_stressed_match,FC6-Average_suffix_unstressed_mismatch,FC6-Average_suffix_unstressed_match,FC2-Average_suffix_stressed_mismatch,FC2-Average_suffix_stressed_match,FC2-Average_suffix_unstressed_mismatch,FC2-Average_suffix_unstressed_match,F4-Average_suffix_stressed_mismatch,F4-Average_suffix_stressed_match,F4-Average_suffix_unstressed_mismatch,F4-Average_suffix_unstressed_match,F8-Average_suffix_stressed_mismatch,F8-Average_suffix_stressed_match,F8-Average_suffix_unstressed_mismatch,F8-Average_suffix_unstressed_match,Fp2-Average_suffix_stressed_mismatch,Fp2-Average_suffix_stressed_match,Fp2-Average_suffix_unstressed_mismatch,Fp2-Average_suffix_unstressed_match,Audio-Average_suffix_stressed_mismatch,Audio-Average_suffix_stressed_match,Audio-Average_suffix_unstressed_mismatch,Audio-Average_suffix_unstressed_match,Fz-Average_suffix_stressed_mismatch,Fz-Average_suffix_stressed_match,Fz-Average_suffix_unstressed_mismatch,Fz-Average_suffix_unstressed_match
stress18,L2,suffix,235_415,1.355316,1.549769,0.194359,0.296819,0.616135,0.002012,0.418276,-4.405631,1.238786,1.422419,-0.108698,-0.75538400000000006,0.785527,0.790438,0.332413,1.793954,1.558819,0.615436,0.395311,-2.09086,1.472076,-0.258403,1.644728,-3.433386,1.569183,-0.882623,1.710143,-3.452248,1.542107,-0.20333,1.035203,0.035404,1.919047,1.576885,0.261642,5.752979,1.837835,-0.818213,1.631131,-2.505978,0.686032,-0.690005,1.444662,-2.327918,2.741439,-1.125872,1.069437,-0.001756,2.561977,-0.690764,1.027007,-1.212108,2.853844,0.371034,3.210484,2.549231,2.741736,1.394528,1.264356,1.896834,2.587675,0.018765,-0.057634,1.803136,1.517111,-1.265961,0.013592,1.73293,4.114969,-1.064516,-0.467044,-2.801239,-0.364824,-2.288417,0.436954,-1.678946,-0.064001,-1.751385,-1.127383,3.869178,1.304062,-2.147919,-0.727707,-1.94256,2.03877,-2.168349,-0.889869,-0.671341,0.968618,-0.6652,1.568919,-1.478174,0.985352,-0.763025,-0.214296,-2.409249,1.320495,-0.670807,-1.429659,-2.658529,-1.591349,2.211619,-0.099998,1.27298,-0.357354,0.273089,0.226401,-1.375466,0.672064,1.623677,1.280395,-4.025123,1.351245,0.047208,0.2792,-0.968822,0.377887,1.214778,-1.838944,1.092457,-0.926223,1.850102,-0.185611,-1.606109,-2599.780518,-1558.585938,-2067.287842,-1380.088135,-0.618349,0.058168,0.288579,-3.207386
stress19,L2,suffix,235_415,2.446761,3.255114,-1.037949,2.671633,0.535566,0.667343,-1.582022,0.813823,3.642693,3.548326,-1.493423,3.224309,2.819334,1.424655,-0.614982,2.750171,0.901263,1.352984,-0.348636,1.671943,-0.4594,0.115736,-0.332717,-0.317957,-0.059129,0.997662,0.653416,-0.147708,0.464407,1.163031,0.884617,1.809448,1.825483,3.240209,1.652271,3.12418,-1.688778,1.634676,1.892317,1.251208,-3.251205,-0.637275,1.389024,-2.375067,-4.702348,-0.927001,1.16836,-3.577814,-2.459373,1.20967,2.853207,-1.280341,-1.206727,1.963074,2.726129,2.215071,-2.531028,0.796468,2.74152,-1.903764,-3.875122,1.227307,2.355703,-2.794111,-3.373982,0.675449,2.367365,-3.259303,-5.219437,-0.69351,2.232834,-3.331356,-2.706123,-0.844488,2.511717,-2.967907,1.371247,1.110522,2.554207,0.519231,-4.588254,-1.854425,1.032526,-3.681858,-4.92096,-1.974127,1.706102,-3.981199,-2.787619,-1.666627,0.80952,-2.333614,-4.102299,-2.320772,1.089949,-3.810654,-1.876321,-2.941851,1.435609,-2.533568,1.508655,-2.89644,0.983767,-2.137369,-1.621123,-2.307845,0.333701,-1.824305,-2.062335,-1.730966,0.432222,-1.876639,-1.547825,-1.444654,0.47324,-1.368298,0.479478,-1.294331,1.314803,0.217458,2.768342,1.987312,-0.983892,0.655519,-2738.307617,-2103.068359,-2454.35083,-1853.408081,-1.065572,-1.450241,-1.402157,-1.214469
stress2,L1,suffix,235_415,5.431804,1.281896,1.399539,0.380414,1.800841,0.454617,1.427246,0.381434,0.737654,0.934561,0.196374,1.162202,-0.170076,-0.517886,-1.377642,1.079927,0.128869,-1.161208,-0.108024,-0.497884,1.215832,0.528929,2.211837,0.255103,-0.593244,0.067798,-0.722266,-0.542894,-1.016121,-2.140219,-1.250028,-0.78546,-2.130683,-1.932499,-3.48163,-0.324844,-0.806509,-1.613675,-1.56817,-1.017161,1.013252,-6.379634,-0.402151,-6.681287,-0.223732,-0.748918,-1.710199,-0.224141,0.164669,-1.027526,-1.734376,0.129054,0.027004,-1.809473,-3.329516,-1.682342,-0.255472,-0.255137,-2.018683,0.370878,-1.318699,-0.520582,-2.73183,-0.725409,-1.61123,-0.900222,-2.950489,-1.025965,-1.79508,0.439846,-1.224037,0.630091,-0.751351,-0.230075,-0.392363,0.028045,-1.760251,0.623848,-2.526954,-3.782511,-1.188159,-1.159127,-0.34959,0.0429,-0.834214,0.347806,0.163471,0.957471,-0.29376,0.499063,0.192572,0.722193,0.908575,0.061861,0.777359,1.126068,0.674088,-0.82614,0.48007,0.279276,2.349921,2.245907,0.191133,3.049657,0.102329,0.084247,0.802334,1.008013,0.091142,0.98561,1.587635,1.703927,0.756451,1.710139,1.823291,1.496449,3.689205,1.282065,1.974298,3.171842,6.053255,3.133481,2.17627,3.561388,-1134.172729,-1251.53186,-2633.59375,-2133.813477,1.296979,0.436217,2.002862,1.369118
stress2,L2,suffix,235_415,-2.553771,0.682584,0.591773,0.113425,-0.631642,-2.549224,-2.428764,-4.325676,-3.672153,1.828354,-0.475836,-3.872949,-2.098491,2.73228,1.892198,-0.833516,-3.189561,-1.400865,-2.226459,-3.714324,0.810891,-5.12366,-1.842164,-2.424263,0.207097,-5.540715,-2.108374,-2.107707,-2.707838,-1.06985,0.213753,-1.691284,1.026173,2.035459,4.095941,2.646208,0.269693,-2.169811,-1.132817,-1.115516,3.694469,-6.320855,-0.740062,-1.43383,3.87466,-5.692554,-0.015309,1.133684,3.290967,-6.170919,1.196126,1.155566,1.758705,-1.521588,1.469028,0.526562,4.451106,-2.883774,3.360237,1.065092,4.782407,-1.510561,4.407207,1.501937,5.434255,-0.557039,3.625255,1.799847,4.011255,-3.19125,-0.159814,1.774365,2.678763,1.192446,3.504863,1.500795,2.678534,3.156447,8.225694,4.16097,1.263565,-1.721241,0.0713,1.500711,1.89324,-4.207517,-1.235205,-0.409697,2.445331,-4.933378,-0.36964,-2.814434,-1.611254,-3.377101,-1.609905,-0.42554,-2.543932,-3.695455,1.996744,0.818967,-3.191272,2.911315,1.303228,1.42915,-4.769105,-6.701955,-1.645966,-1.255909,-1.502871,-2.682526,-2.859514,-2.065324,-1.553651,-2.958767,-4.532906,-3.834834,-4.023427,-4.680841,-0.217057,-1.34684,-0.189247,0.521845,0.67938,-0.549018,-871.447693,-981.561401,-2426.001709,-2226.229492,-1.234902,-1.730636,-4.107211,-2.269059
stress20,L2,suffix,235_415,-16.497581,-2.99275,-5.393423,5.75194,-6.838081,0.905083,-3.29988,0.159908,-5.133555,1.633579,-2.29996,-2.801636,0.575926,1.357744,-0.304469,-3.839257,-4.137136,1.989904,-1.898606,-1.626874,-3.539208,1.234032,-2.070723,-1.169737,-2.030396,2.921567,-1.221669,0.839952,-1.581361,2.678488,-0.413906,-2.178066,7.522521,0.606369,4.662149,1.298469,0.775971,3.186318,0.817944,1.042965,-0.42515,2.305658,-1.257666,1.696727,0.085399,1.432483,-1.092801,2.618518,1.318144,2.623648,1.440556,2.31434,2.176925,2.112864,3.380879,2.50331,1.549901,-1.460947,3.819978,2.10692,1.95752,-1.696286,2.383992,2.715785,1.627246,-2.094841,1.490031,3.198924,0.514195,0.052898,-1.321788,1.663219,0.792335,-2.886164,0.729678,2.240805,8.958184,-2.678467,3.749277,0.06064,0.713027,-0.395662,-1.412733,-0.018909,-0.911279,1.539234,-2.222358,1.326289,-1.672216,1.288596,-2.915724,0.90096,-0.147451,0.954741,-1.84881,-0.151491,2.674485,-0.165141,-0.889205,-1.632082,5.747965,0.786731,-0.290604,-3.593479,0.134148,-0.633273,-2.75647,-2.171621,-3.13224,0.266935,-2.226151,-1.495904,-4.12119,0.555042,-2.971547,-0.446096,1.245968,0.944011,-3.468868,-0.665356,-12.242277,-2.20613,-5.076383,5.628181,-2552.738525,-1755.144165,-2618.503418,-1548.51355,-5.49357,0.690698,-2.803808,-0.453036
stress21,L2,suffix,235_415,2.578201,1.127342,-0.447652,0.881962,-1.844447,1.378181,0.197114,-0.295682,3.352626,0.897781,0.98465,-1.443552,2.39144,-0.422869,-1.607399,-1.228245,-7.354712,1.028711,1.067982,-1.82912,-0.969976,1.454027,-0.105709,0.085235,-0.069131,0.758794,-0.222933,-0.54087,-2.001466,-1.225237,-0.811987,-2.504328,3.6076260000000002,-1.693385,-0.949698,-2.239177,0.320202,-0.675326,-1.485274,-2.816654,1.45236,-0.220526,-1.757246,1.019979,1.169611,-1.788083,-1.784846,0.98206,1.056968,-0.814905,-1.198412,-0.864616,1.290135,-1.022361,-1.004483,-2.061628,2.01444,-1.073802,-0.669703,-1.841293,2.061573,-2.21915,-0.281939,-0.928828,2.043538,-2.683488,-0.877458,-0.642472,0.482847,-2.554971,-1.494598,1.197259,0.461681,-1.192833,-0.463493,0.222558,3.050357,-0.949208,0.245982,0.977711,-1.655893,-1.763656,-0.625987,0.735008,0.657497,-1.058876,-1.299965,1.871204,-0.272381,0.973457,0.315201,1.568248,-2.609062,-0.194209,-0.160218,0.600498,-3.716661,-1.018488,0.510656,1.498841,-0.139709,0.157161,0.319432,3.026852,-9.359287,-0.194624,0.809,1.040308,-3.656415,0.992516,-0.1691,0.404073,-6.688497,0.12809,0.555627,-0.002142,-0.639716,-0.447634,2.781814,2.148041,-0.08349,-0.901959,2.058054,0.488275,-2692.426758,-1551.691162,-2531.564697,-1561.200073,-2.219327,0.880865,0.234572,0.420489
stress22,L2,suffix,235_415,2.17838,-1.407522,0.820913,-4.283142,1.080035,-0.186818,-2.83242,-0.166229,0.812476,-1.199365,-0.397693,-2.778083,0.638199,-2.484107,1.485806,-1.714199,0.773696,-0.954348,-1.90861,-0.58701,0.40225,0.20423,-5.189579,2.175827,-0.347678,0.756635,-3.048265,0.661505,1.126058,-2.846836,0.129156,-0.535781,-1.865534,-3.220431,5.838244,-0.055071,-0.950183,-2.270128,-0.963291,0.654083,-2.324404,0.826237,-3.63033,2.943764,-3.545999,1.707479,-2.796068,3.897776,-2.661973,0.507466,-2.233195,3.262803,-0.706813,-1.894643,0.046726,1.036572,-1.671765,-0.854465,-1.098891,3.124512,-1.966261,0.47854,-1.269047,3.896237,-2.056653,0.122564,-0.921457,4.482018,-2.919549,0.422027,-2.49218,3.266778,-0.998981,-0.771482,0.630772,1.659826,-1.153293,-0.0764,7.367932,-1.737892,-2.311717,-0.234965,-1.444443,2.424823,-2.476424,1.435782,-3.873167,3.036541,-1.557715,0.817302,-4.537524,2.901778,-1.815493,0.684159,-4.548335,2.684042,-0.564638,-0.315225,1.414229,1.464026,-0.124785,0.90589,2.975068,0.3996,-2.123801,0.335346,-1.741055,1.578955,-0.909261,-0.623505,-5.146862,2.235273,-0.514085,-0.663049,-3.531699,1.254477,-1.076555,-0.283808,0.649845,0.583277,0.099412,-1.850424,-0.755647,-4.36062,-2664.649902,-1762.989502,-2369.586426,-1558.609375,1.006276,1.098944,-4.40206,0.597654
stress23,L2,suffix,235_415,5.461295,7.534744,-0.389957,3.925632,3.257954,5.109992,-1.131806,-1.186451,3.964185,13.937735,-1.698079,3.752101,2.028044,10.718125,-1.975784,3.096866,2.238361,5.853948,-2.87403,-1.160957,3.190801,1.803998,-2.169647,-1.947393,1.90812,1.715223,-1.006567,-1.910143,3.526371,5.1717,-2.486776,-1.219124,-7.565371,1.947133,4.97459,2.794191,6.637228,2.716867,-3.970782,0.028511,0.367546,-0.131624,-0.488303,-1.175461,2.167329,-0.333071,1.165314,-0.630226,1.618228,-0.824897,0.87417,-2.383422,6.040492,0.032727,2.268407,0.745711,3.173722,-2.044725,3.826148,0.105222,2.617449,-1.767328,2.225123,0.169728,2.850422,-2.301988,2.494873,-0.3468,2.545233,-2.787733,1.161685,0.034629,1.492935,-2.287178,7.659554,3.583295,-0.658165,-3.942354,1.862984,1.69032,5.006999,-4.396177,-0.177072,-0.909914,1.879091,-1.298691,-1.18391,0.076417,1.961379,-2.411858,-1.852385,-0.29023,3.471498,-2.798077,-0.221802,-0.448998,-1.363965,-1.629733,0.35897,-1.91126,0.52571,-6.753186,-3.890077,-0.30835,3.750369,-4.494409,3.080479,1.079877,4.944313,-1.382119,-1.529181,-0.813358,2.157393,-0.255104,-3.424729,-1.288169,-1.212381,-11.619924,-3.041614,-2.222194,4.463845,-0.288938,1.578563,1.988651,-2525.925781,-1767.765869,-2225.456055,-1681.538086,2.741182,0.665068,-2.27919,-1.49484
stress24,L2,suffix,235_415,-6.538718,-1.859022,-8.425942,1.829648,-1.331527,2.097906,-1.872713,-0.437747,-1.898558,4.468715,-1.293155,1.26686,-1.229131,1.237781,3.118418,-0.557451,0.327818,3.295952,-0.638987,-1.163908,-1.037614,0.063294,-3.213137,-1.705159,1.242921,-0.041522,-3.238428,-2.740266,-0.675327,-0.343262,1.127202,-1.89394,4.543243,0.830231,4.970852,1.351086,2.687695,-1.259535,0.08685,-1.115478,2.473952,-0.846149,-4.647349,-0.864853,2.455605,-0.598218,-5.481782,-0.873171,3.736651,-0.220899,-1.672471,0.944491,3.791242,-0.425108,2.405009,1.749591,2.593541,-0.767325,0.066763,4.257862,2.661005,-1.339548,-1.215146,2.077103,2.07902,-0.968655,-2.482406,0.189147,1.302936,-0.310095,-5.316302,-2.103975,0.946556,-0.365748,-2.522113,-1.393566,2.644787,0.46846,1.898268,1.007639,0.517455,0.222749,-4.585179,-5.412557,0.769383,0.324331,-6.512371,-3.947533,0.444832,0.238,-5.883451,-2.799346,0.859117,0.543361,-4.984588,-4.691706,-2.802823,-0.69184,-3.942713,-5.851852,-1.466322,1.477625,0.235277,-3.658686,-0.60728,1.551797,-3.079519,-3.86936,-0.851832,0.234699,-4.434642,-2.833628,-1.843319,-0.277585,-4.213305,0.307578,-0.875018,0.786084,0.138021,-3.866285,-5.890114,-3.056248,-8.009508,0.506221,-2587.10083,-1603.377808,-2549.53125,-1550.971436,-2.396009,-0.432898,-2.289706,-0.786242
stress25,L2,suffix,235_415,-1.855608,-3.120791,-3.507329,-1.809322,-0.560453,-2.508117,-1.459827,-0.218983,-0.495489,-0.438117,0.522604,3.084553,0.424281,-0.473095,0.47313499999999997,3.678631,-0.392123,-0.618468,-1.257081,-0.296782,-0.530317,-1.105662,-2.524565,-1.791326,-0.264217,-0.18669,-2.394707,-1.372201,-0.628241,-0.409502,-0.401216,1.350027,2.676825,3.829337,2.413204,3.013109,1.123977,0.805895,-0.89566,-0.23525,-0.43102,-0.673065,-3.388294,-0.688189,0.075227,-1.584235,-3.887547,-0.442735,1.801151,0.188247,-1.318456,0.242327,2.486669,1.280542,1.149021,1.582654,2.46958,-0.667219,0.165559,0.869027,1.955765,-1.998123,-0.66425,0.1526,1.20522,-2.228187,-1.596963,-0.751149,-0.318024,-2.105935,-3.299525,-0.944423,-0.376141,-1.317682,-1.453761,-0.943,2.076876,2.937325,2.785107,2.42463,-1.357201,-0.973581,-2.340293,-1.542718,0.050068,-1.838591,-4.563782,-2.017205,-0.75201,-0.595206,-3.976591,-1.435931,-1.317636,-1.163436,-2.714029,-2.082697,-0.44971,-0.225255,-0.805786,-0.379707,-1.643763,-0.093408,0.456311,1.123592,-1.614357,-0.422098,-0.889028,-0.776494,-1.219367,-1.675477,-1.757688,-2.169086,-1.667978,-2.040423,-1.921329,-1.367633,-2.31462,-0.943761,-0.299513,-0.059533,-2.793241,-5.155654,-3.906397,-4.121638,-2577.926025,-1668.709961,-1772.552002,-1560.486328,-1.584567,-2.255553,-1.73277,-1.812579
stress26,L2,suffix,235_415,2.833768,-12.018165,11.02021,-13.14923,3.1321,-4.218686,3.304771,-2.758404,0.881473,-5.476787,1.742327,-2.586957,-2.050488,-2.141439,-0.745648,0.899447,0.987439,-3.30654,0.2684,-0.024562,3.867178,-1.500883,2.986505,-1.347347,2.29266,-0.109435,3.039595,-0.728029,-0.609539,-1.039463,-1.554726,1.211296,-5.989133,3.792773,-2.759072,4.563113,0.786473,0.364958,-0.206625,0.526257,1.4892,0.855865,2.879984,1.079859,-0.549464,1.734842,3.136564,1.123715,0.98128,0.98059,0.610031,0.99201,-1.38344,0.471516,-0.563851,1.670031,-1.812476,0.555955,0.196982,1.368805,-4.871565,-0.337798,2.776261,1.340771,-2.164342,1.521408,0.641889,-0.368943,-1.415366,0.961723,1.485053,0.765631,-1.34912,1.201922,0.537879,0.192801,-5.875409,4.665742,-2.829812,3.338463,-1.266758,0.337822,-0.061794,-0.937308,1.992651,-0.193768,1.980702,-0.144717,1.660371,0.289562,3.831487,-0.843254,-0.692979,-0.135006,2.23579,-1.359334,-1.8551,1.966394,0.05106,-0.301793,-0.565563,1.375533,-0.842362,-1.42229,0.554114,-1.82538,1.218609,-3.201547,1.933862,-0.927857,1.831984,-1.794228,3.436991,-2.019453,1.539884,-5.234729,2.188624,-0.716289,1.436404,-4.992563,9.428035,-13.109537,7.864933,-10.934682,-2474.417725,-1630.558594,-2525.305176,-1373.308838,3.954846,-2.819505,1.862962,-2.633859
stress27,L2,suffix,235_415,29.427784,24.806004,-33.299904,-1.178889,27.13492,-4.435685,3.085976,6.734189,67.717529,-17.837208,23.577942,21.78862,35.83329,-16.549706,21.718643,11.899652,38.777737,-6.462676,15.024374,8.713787,6.2888,-5.371737,-0.857719,2.470284,9.135864,-10.18285,3.230096,2.582395,22.44558,-7.249376,12.332362,4.658236,7.616188,-6.698343,16.817974,2.88221,8.784204,-7.724904,4.48572,1.962969,0.919063,-7.584088,-0.147788,0.757773,-3.703364,-6.863714,-2.363014,-0.115845,1.919008,-7.376494,1.522194,1.929538,5.126364,-5.317203,4.857576,2.106243,-0.894891,-5.392945,3.193558,1.612697,-3.070878,-5.398604,2.429047,1.098996,-6.148375,-3.99868,0.006112,-0.645532,-9.790151,-3.100736,-3.599509,-2.391862,-10.478412,-0.832964,-2.278477,-3.554793,-12.077671,0.41554,5.977842,-4.688035,-14.969103,0.303167,-5.747787,-5.412795,-8.469872,-5.041337,-5.140213,-3.570648,-3.03404,-6.085987,-4.453286,-0.45916,-15.213943,0.225551,-8.469895,-4.631988,-21.740211,5.998099,-7.766214,-8.731859,-32.460258,13.988621,-10.818607,-13.551622,-27.3204,11.990149,-10.587688,-10.086988,-8.042907,-1.002514,-7.216129,-1.397912,-13.530313,10.572209,-14.012379,-5.181589,-45.534767,29.507978,-22.434034,-17.942091,14.046377,19.278006,-30.561918,-1.547657,-3594.158691,-1903.206177,-1930.326294,-1442.050415,1.48716,2.094268,-7.598607,0.601944
stress3,L1,suffix,235_415,-13.200981,-14.11496,-19.15774,-41.741966,-5.104012,-3.606926,-6.881155,-19.816505,-10.956265,-5.077824,-8.618717,-22.482927,-4.981444,1.073979,-0.863315,-2.511378,-4.967182,-2.575582,-3.23178,-13.203651,-2.070383,-1.046723,-2.250549,-13.694078,-1.511052,-1.272973,-1.053938,-11.665375,-4.299114,-2.356374,-0.372678,-3.245502,5.252022,3.009784,5.708332,21.518389,-2.840296,-2.192017,-0.124625,-4.85466,-0.776322,-0.91119000000000006,-1.549708,-9.790581,-0.18865,-0.575918,-2.333002,-7.206292,-1.311351,-3.136431,-0.034626,-6.328542,-0.111659,-1.763837,1.725523,1.224192,0.609241,-1.930758,-0.927994,0.482711,1.401461,-1.182374,-0.81179,1.057619,1.215539,1.459934,-0.981111,2.095009,0.038399,0.410887,-2.447097,-3.632086,-1.210849,-0.226853,-1.60681,4.165274,3.286135,4.4543,6.076058,22.290989,-0.289562,0.798747,-1.864369,-0.549285,0.766559,0.506445,-2.626715,-6.347567,0.018868,-1.368502,-2.158267,-10.247995,1.609419,1.314685,-1.461492,-4.811786,-1.758139,1.295963,-0.012988,4.946782,1.367531,4.194352,4.228074,12.102818,0.506548,1.602246,0.709018,0.399231,0.412128,0.063257,-1.080367,-9.279458,-2.994903,-1.854808,-2.389057,-9.047547,1.470366,2.800954,3.067781,9.445467,-10.431903,-9.918397,-14.312343,-32.773769,-156.462311,-21.544971,-2326.814209,-2417.599609,-2.846051,-2.488028,-3.928129,-14.603127
stress3,L2,suffix,235_415,-0.023539,0.763775,0.176202,-2.925448,2.642746,-1.028656,-0.533282,-2.539469,2.310822,-0.229829,2.20823,-3.818556,1.977134,-0.171707,2.233079,-1.091951,1.12668,-1.522555,-0.648581,-0.74118,0.252665,-1.859213,-0.677657,-2.989263,-1.245947,-1.674632,-0.581937,-1.897427,1.316978,-1.563362,0.978468,-0.401679,-0.397225,1.018548,1.799107,4.739594,-1.714344,-1.026293,-0.233923,-1.622468,-2.227442,-0.978651,0.399112,-0.310541,-4.65952,-2.548016,0.365245,1.576381,-2.759,-1.028233,0.285683,0.29193,-1.677533,-0.352244,0.530153,1.230347,-3.199998,-1.964451,0.437804,1.600619,-3.559823,-2.648933,-0.013501,2.252419,-4.570552,-2.844491,0.181529,1.754275,-4.865158,-1.66492,-1.378228,-0.103008,-0.748678,-1.802056,-1.611397,2.988587,-1.764251,0.449542,1.522617,6.823343,-3.374876,-1.720934,-2.12019,0.036854,-4.036459,-0.741938,-1.710463,-0.793887,-1.889074,-0.987238,-1.193175,-1.162128,-2.899309,-0.761389,-2.934586,-0.95708,-1.423886,-0.904639,-1.457511,0.659464,-0.13558,0.577037,1.989169,2.586709,-0.966807,-0.696712,-0.723578,0.689942,0.003155,-0.958199,-2.6277,-1.135008,-1.67922,-0.755543,-1.690912,-1.5148,-1.76499,-0.883121,0.693529,0.878156,-2.050127,-0.065094,-0.826386,-1.1028,-774.734924,-965.233704,-2628.61377,-2212.4375,0.720492,-0.489364,-1.107241,-3.854313
stress4,L1,suffix,235_415,-0.807388,1.83996,2.983726,-1.544459,-0.446395,3.198344,3.080788,0.187256,4.137568,1.45387,2.836916,-0.838425,5.474033,1.07173,1.190408,-0.156386,-0.640399,4.04389,1.111799,0.959163,0.461755,1.674162,0.393316,1.478756,-1.759326,2.972271,0.759134,2.297398,2.001354,-0.997181,1.76928,1.209519,-1.364851,-1.784806,0.151271,-0.438239,-1.366778,0.964976,1.910295,2.183744,-1.766653,1.117673,0.386372,3.592048,-1.972006,1.277761,-0.053788,2.841748,-2.514828,2.1959,0.920622,3.262693,-3.540155,1.874741,2.58925,-0.320112,-2.64519,1.648692,1.752398,-0.277992,-2.671922,1.714118,1.768675,-0.285447,-1.795001,-1.712395,-0.940034,-3.687851,-3.959282,0.926958,-1.70362,1.524284,-4.620869,1.519527,0.782992,-2.749559,0.869179,-1.468559,-3.908857,-2.593218,-5.1235290000000004,-0.037765,-0.379632,-2.922783,-2.105351,1.007355,-0.910937,2.393092,-0.905719,-0.043387,-0.229905,2.838004,-3.507364,0.682978,-1.569031,0.18452,6.231054,-0.686931,-2.985357,-2.904008,6.182344,-3.172632,0.371407,-3.863366,0.699929,-0.25709,0.559148,-2.72482,-0.17054,0.817574,0.13433,1.19534,-1.980489,0.40506,3.457904,1.670028,-0.707267,3.571746,2.170642,0.01445,1.667376,2.397921,0.703016,-2.822694,-42.475109,146.415207,-1942.571777,-1652.669189,0.165222,1.084458,1.252528,1.010484
